スキル系統,最小,最大
装填速度,1,4
護石王,1,3
攻撃,1,4
防御,1,4
達人,1,4
砲術,1,6
回避性能,1,6
体力,1,8
ガード性能,1,6
ガード強化,1,4
研ぎ師,1,4
底力,1,6
爆弾強化,1,6
特殊攻撃,1,4
納刀,1,6
減気攻撃,1,6
KO,1,6
対防御DOWN,1,7
通常弾追加,1,6
貫通弾追加,1,6
散弾追加,1,6
榴弾追加,1,6
拡散弾追加,1,6
斬裂弾追加,1,6
爆破弾追加,1,6
爆破瓶追加,1,6
精密射撃,1,6
火属性攻撃,1,7
水属性攻撃,1,7
雷属性攻撃,1,7
氷属性攻撃,1,7
龍属性攻撃,1,7
火耐性,1,6
水耐性,1,6
雷耐性,1,6
氷耐性,1,6
龍耐性,1,6
千里眼,1,8
回復量,1,6
広域,1,8
笛,1,6
体術,1,6
気力回復,1,6
風圧,1,4
食事,1,4
采配,1,5
号令,1,5
回復速度,1,7
加護,1,7
腹減り,1,8
運搬,1,8
高速設置,1,8
毒,1,5
麻痺,1,5
睡眠,1,5
気絶,1,8
耐泥耐雪,1,7
耐震,1,7
燃鱗,1,5
